extern_id;term;Aantal
DAI068440510;D18220;4
DAI068440510;D21700;4
DAI068440510;D24300;4
DAI068440510;E11000;4
DAI068749414;D18210;3
DAI068749414;D22400;3
DAI068749414;E13000;3
DAI072172231;D18140;5
DAI072172231;D18210;5
DAI072172231;D22200;5
DAI072172231;D22400;5
DAI072172231;E13000;5
DAI117927104;D15100;4
DAI117927104;D18130;4
DAI117927104;D65000;4
DAI117927104;E13000;4
DAI074337424;D22100;2
DAI074337424;D24300;2
DAI067738206;D34100;3
DAI067738206;D42000;3
DAI067738206;D42100;3
DAI072293721;D36000;2
DAI072293721;D66000;2
DAI071195777;D36400;1
DAI068334605;D36200;1
DAI069212821;D34000;2
DAI069212821;D64000;2
DAI079263437;D32000;1
DAI068424639;D34000;1
DAI068379072;D35200;2
DAI068379072;D36000;2
DAI192419757;D33000;1
DAI06841949X;D33000;1
DAI072326301;D11500;1
DAI072326158;D11400;2
DAI072326158;D14000;2
DAI071901701;D11600;3
DAI071901701;D11700;3
DAI071901701;D16800;3
DAI07272014X;D11000;2
DAI07272014X;D11800;2
DAI304119253;D11800;3
DAI304119253;D12700;3
DAI304119253;D14000;3
DAI073551805;D14240;3
DAI073551805;D23390;3
DAI073551805;D70000;3
DAI068933312;D14400;5
DAI068933312;D14430;5
DAI068933312;D14431;5
DAI068933312;D35500;5
DAI068933312;D44000;5
DAI068417446;D14210;3
DAI068417446;D14400;3
DAI068417446;D44000;3
DAI074951394;D14400;5
DAI074951394;D14410;5
DAI074951394;D32500;5
DAI074951394;D35100;5
DAI074951394;D65000;5
DAI304091537;D14400;4
DAI304091537;D14410;4
DAI304091537;D44000;4
DAI304091537;D65000;4
DAI304115460;D14400;3
DAI304115460;D14410;3
DAI304115460;D62000;3
DAI069779880;D14400;4
DAI069779880;D14410;4
DAI069779880;D18140;4
DAI069779880;D65000;4
DAI304110949;D14400;3
DAI304110949;D35500;3
DAI304110949;D65000;3
DAI074240382;D11600;3
DAI074240382;D16000;3
DAI074240382;D66000;3
DAI068924798;D12100;2
DAI068924798;D12300;2
DAI304090670;D14320;2
DAI304090670;D16300;2
DAI073410667;D13500;1
DAI07431775X;D13400;4
DAI07431775X;D14510;4
DAI07431775X;D14800;4
DAI07431775X;E16000;4
DAI072743174;D12100;3
DAI072743174;D16600;3
DAI072743174;E16000;3
DAI072247096;D14210;4
DAI072247096;D14233;4
DAI072247096;D15700;4
DAI072247096;D17000;4
DAI304119792;D13400;4
DAI304119792;D13500;4
DAI304119792;D14100;4
DAI304119792;D14500;4
DAI071768718;D14200;4
DAI071768718;D14240;4
DAI071768718;D14700;4
DAI071768718;D32100;4
DAI304113891;D14210;1
DAI075012979;D14240;4
DAI075012979;D14340;4
DAI075012979;D16600;4
DAI075012979;D16800;4
DAI304092495;D14210;2
DAI304092495;D16800;2
DAI072980974;D12400;3
DAI072980974;D12600;3
DAI072980974;E16000;3
DAI21242470X;D14200;5
DAI21242470X;D14240;5
DAI21242470X;D14700;5
DAI21242470X;D42200;5
DAI21242470X;D70000;5
DAI304121398;D14200;2
DAI304121398;D14240;2
DAI070542457;D14100;1
DAI085505056;D12400;1
DAI069022674;D51000;2
DAI069022674;D52000;2
DAI07503509X;D54000;1
DAI069463409;D16000;2
DAI069463409;D61000;2
DAI068516983;D54000;1
DAI068357273;D32000;3
DAI068357273;D32400;3
DAI068357273;D54000;3
DAI069353174;D51000;2
DAI069353174;D54000;2
DAI068522649;D51000;1
DAI068945124;D32500;2
DAI068945124;D42100;2
DAI073594741;D66000;1
DAI069390312;D51000;1
DAI069911096;D23350;2
DAI069911096;D51000;2
DAI068281439;D51000;1
DAI073894605;D13700;1
DAI071630848;D11000;3
DAI071630848;D16000;3
DAI071630848;D30100;3
DAI068368372;D22400;2
DAI068368372;D22500;2
DAI072352728;D13500;1
DAI202336913;D12300;2
DAI202336913;D12400;2
DAI069458642;D16000;3
DAI069458642;D30100;3
DAI069458642;D36000;3
DAI070599270;D13100;3
DAI070599270;D13300;3
DAI070599270;E16000;3
DAI069959293;D11200;1
DAI071155066;D11600;2
DAI071155066;D11700;2
DAI298977788;D18220;5
DAI298977788;D18230;5
DAI298977788;D21300;5
DAI298977788;D21700;5
DAI298977788;D22300;5
DAI068808399;D23231;3
DAI068808399;D23240;3
DAI068808399;D53000;3
DAI068788509;D23120;2
DAI068788509;D23227;2
DAI068317808;D23233;1
DAI067913245;D23362;1
DAI239576284;D21700;2
DAI239576284;D23231;2
DAI06749028X;D21200;1
DAI071651780;D23100;3
DAI071651780;D23120;3
DAI071651780;E11000;3
DAI068508999;D21900;2
DAI068508999;D23380;2
DAI068229011;D70000;1
DAI314494871;D11600;1
DAI068258259;D16000;2
DAI068258259;D70000;2
DAI068335938;D32500;2
DAI068335938;D70000;2
DAI327782617;D11000;2
DAI327782617;D70000;2
DAI071324828;D34000;3
DAI071324828;D60000;3
DAI071324828;D70000;3
DAI314496041;D51000;1
DAI164295127;D51000;1
DAI067798748;D51000;1
DAI069096716;D32500;2
DAI069096716;D41000;2
DAI314908501;D41000;4
DAI314908501;D41300;4
DAI314908501;D61000;4
DAI314908501;D63000;4
DAI068851375;D41300;1
DAI069290245;D34000;2
DAI069290245;D41100;2
DAI073460133;D42200;2
DAI073460133;D70000;2
DAI068254970;D41200;1
DAI068242107;D41600;2
DAI068242107;D42100;2
DAI070732485;D21500;2
DAI070732485;D21600;2
DAI068268793;D16400;2
DAI068268793;D70000;2
DAI067693571;D11700;2
DAI067693571;D70000;2
DAI07151340X;D11100;2
DAI07151340X;E16000;2
DAI070156182;D11400;2
DAI070156182;D14000;2
DAI074434454;D16000;1
DAI07093018X;D16400;1
DAI067879926;D12800;1
DAI069089469;D14210;1
DAI067829902;D14240;2
DAI067829902;D14340;2
DAI298394715;D14240;2
DAI298394715;D16800;2
DAI298394855;D12300;4
DAI298394855;D14310;4
DAI298394855;D14800;4
DAI298394855;D66000;4
DAI298394871;D13200;3
DAI298394871;D14100;3
DAI298394871;E16000;3
DAI079988709;D13200;2
DAI079988709;D14210;2
DAI072920769;D13300;3
DAI072920769;D21300;3
DAI072920769;E11000;3
DAI071947612;D13400;5
DAI071947612;D13500;5
DAI071947612;D13600;5
DAI071947612;D13700;5
DAI071947612;D14500;5
DAI069612951;D13400;2
DAI069612951;D14100;2
DAI067751792;D14400;2
DAI067751792;D65000;2
DAI14662162X;D14400;2
DAI14662162X;D14410;2
DAI068419589;D41200;1
DAI314492461;D16000;4
DAI314492461;D30100;4
DAI314492461;D36000;4
DAI314492461;D36100;4
DAI068233582;D36000;2
DAI068233582;D66000;2
DAI071579796;D30100;2
DAI071579796;D36000;2
DAI074472186;D11100;2
DAI074472186;D36000;2
DAI072371501;D41500;3
DAI072371501;D42200;3
DAI072371501;D61000;3
DAI068368771;D41500;2
